__time,/output_std/data[0],/output_std/data[1],/output_std/layout/data_offset,/time/data
1706898890.438653,0.010000000,0.000000000,0.000000000,
1706898890.438713,,,,0.020000000
1706898890.448738,0.019900000,0.000100000,0.000000000,
1706898890.448804,,,,0.030000000
1706898890.458749,0.029691000,0.000299000,0.000000000,
1706898890.458814,,,,0.040000000
1706898890.468868,0.039364190,0.000595910,0.000000000,
1706898890.468919,,,,0.050000000
1706898890.478847,0.048910957,0.000989552,0.000000000,
1706898890.478917,,,,0.060000000
1706898890.488580,0.058322892,0.001478661,0.000000000,
1706898890.488616,,,,0.070000000
1706898890.498704,0.067591797,0.002061890,0.000000000,
1706898890.498783,,,,0.080000000
1706898890.509072,0.076709690,0.002737808,0.000000000,
1706898890.509170,,,,0.090000000
1706898890.518765,0.085668813,0.003504905,0.000000000,
1706898890.518848,,,,0.100000000
1706898890.528721,0.094461634,0.004361593,0.000000000,
1706898890.528775,,,,0.110000000
1706898890.538978,0.103080858,0.005306210,0.000000000,
1706898890.539049,,,,0.120000000
1706898890.548851,0.111519429,0.006337018,0.000000000,
1706898890.548918,,,,0.130000000
1706898890.558736,0.119770533,0.007452213,0.000000000,
1706898890.558795,,,,0.140000000
1706898890.568629,0.127827606,0.008649918,0.000000000,
1706898890.568666,,,,0.150000000
1706898890.578687,0.135684338,0.009928194,0.000000000,
1706898890.578720,,,,0.160000000
1706898890.588833,0.143334675,0.011285037,0.000000000,
1706898890.588897,,,,0.170000000
1706898890.598954,0.150772825,0.012718384,0.000000000,
1706898890.599026,,,,0.180000000
1706898890.608690,0.157993258,0.014226112,0.000000000,
1706898890.608731,,,,0.190000000
1706898890.618973,0.164990714,0.015806045,0.000000000,
1706898890.619048,,,,0.200000000
1706898890.628819,0.171760203,0.017455952,0.000000000,
1706898890.628876,,,,0.210000000
1706898890.638940,0.178297005,0.019173554,0.000000000,
1706898890.639008,,,,0.220000000
1706898890.648946,0.184596680,0.020956524,0.000000000,
1706898890.649062,,,,0.230000000
1706898890.658755,0.190655061,0.022802491,0.000000000,
1706898890.658830,,,,0.240000000
1706898890.668780,0.196468261,0.024709042,0.000000000,
1706898890.668850,,,,0.250000000
1706898890.678832,0.202032674,0.026673724,0.000000000,
1706898890.678888,,,,0.260000000
1706898890.688906,0.207344975,0.028694051,0.000000000,
1706898890.688981,,,,0.270000000
1706898890.698916,0.212402120,0.030767501,0.000000000,
1706898890.698991,,,,0.280000000
1706898890.708820,0.217201349,0.032891522,0.000000000,
1706898890.708881,,,,0.290000000
1706898890.719011,0.221740183,0.035063535,0.000000000,
1706898890.719105,,,,0.300000000
1706898890.728714,0.226016428,0.037280937,0.000000000,
1706898890.728771,,,,0.310000000
1706898890.738921,0.230028170,0.039541101,0.000000000,
1706898890.738998,,,,0.320000000
1706898890.748919,0.233773778,0.041841383,0.000000000,
1706898890.748993,,,,0.330000000
1706898890.758562,0.237251902,0.044179121,0.000000000,
1706898890.758594,,,,0.340000000
1706898890.768827,0.240461471,0.046551640,0.000000000,
1706898890.768879,,,,0.350000000
1706898890.778731,0.243401692,0.048956255,0.000000000,
1706898890.778783,,,,0.360000000
1706898890.788956,0.246072050,0.051390272,0.000000000,
1706898890.789011,,,,0.370000000
1706898890.798962,0.248472302,0.053850992,0.000000000,
1706898890.799017,,,,0.380000000
1706898890.808730,0.250602480,0.056335715,0.000000000,
1706898890.808772,,,,0.390000000
1706898890.818688,0.252462884,0.058841740,0.000000000,
1706898890.818734,,,,0.400000000
1706898890.828629,0.254054081,0.061366369,0.000000000,
1706898890.828671,,,,0.410000000
1706898890.838603,0.255376903,0.063906910,0.000000000,
1706898890.838637,,,,0.420000000
1706898890.849000,0.256432443,0.066460679,0.000000000,
1706898890.849100,,,,0.430000000
1706898890.858750,0.257222051,0.069025003,0.000000000,
1706898890.858796,,,,0.440000000
1706898890.868885,0.257747330,0.071597224,0.000000000,
1706898890.868940,,,,0.450000000
1706898890.878757,0.258010134,0.074174697,0.000000000,
1706898890.878803,,,,0.460000000
1706898890.889026,0.258012563,0.076754798,0.000000000,
1706898890.889091,,,,0.470000000
1706898890.898758,0.257756958,0.079334924,0.000000000,
1706898890.898803,,,,0.480000000
1706898890.908899,0.257245896,0.081912493,0.000000000,
1706898890.908941,,,,0.490000000
1706898890.918726,0.256482188,0.084484952,0.000000000,
1706898890.918778,,,,0.500000000
1706898890.928648,0.255468870,0.087049774,0.000000000,
1706898890.928684,,,,0.510000000
1706898890.938832,0.254209204,0.089604463,0.000000000,
1706898890.938895,,,,0.520000000
1706898890.948827,0.252706666,0.092146555,0.000000000,
1706898890.948888,,,,0.530000000
1706898890.958706,0.250964944,0.094673622,0.000000000,
1706898890.958751,,,,0.540000000
1706898890.968695,0.248987932,0.097183271,0.000000000,
1706898890.968729,,,,0.550000000
1706898890.978704,0.246779726,0.099673150,0.000000000,
1706898890.978750,,,,0.560000000
1706898890.988898,0.244344614,0.102140948,0.000000000,
1706898890.988964,,,,0.570000000
1706898890.998951,0.241687073,0.104584394,0.000000000,
1706898890.999001,,,,0.580000000
1706898891.008741,0.238811762,0.107001265,0.000000000,
1706898891.008783,,,,0.590000000
1706898891.018670,0.235723518,0.109389382,0.000000000,
1706898891.018709,,,,0.600000000
1706898891.028682,0.232427345,0.111746617,0.000000000,
1706898891.028710,,,,0.610000000
1706898891.038682,0.228928410,0.114070891,0.000000000,
1706898891.038719,,,,0.620000000
1706898891.048887,0.225232037,0.116360175,0.000000000,
1706898891.048959,,,,0.630000000
1706898891.058700,0.221343699,0.118612495,0.000000000,
1706898891.058749,,,,0.640000000
1706898891.068921,0.217269012,0.120825932,0.000000000,
1706898891.068963,,,,0.650000000
1706898891.078901,0.213013729,0.122998622,0.000000000,
1706898891.078947,,,,0.660000000
1706898891.088794,0.208583729,0.125128760,0.000000000,
1706898891.088835,,,,0.670000000
1706898891.099001,0.203985016,0.127214597,0.000000000,
1706898891.099076,,,,0.680000000
1706898891.108727,0.199223706,0.129254447,0.000000000,
1706898891.108768,,,,0.690000000
1706898891.118619,0.194306025,0.131246684,0.000000000,
1706898891.118661,,,,0.700000000
1706898891.128701,0.189238296,0.133189744,0.000000000,
1706898891.128787,,,,0.710000000
1706898891.138569,0.184026938,0.135082127,0.000000000,
1706898891.138598,,,,0.720000000
1706898891.148711,0.178678456,0.136922397,0.000000000,
1706898891.148772,,,,0.730000000
1706898891.158666,0.173199432,0.138709181,0.000000000,
1706898891.158715,,,,0.740000000
1706898891.168911,0.167596520,0.140441176,0.000000000,
1706898891.168985,,,,0.750000000
1706898891.178639,0.161876437,0.142117141,0.000000000,
1706898891.178678,,,,0.760000000
1706898891.188860,0.156045958,0.143735905,0.000000000,
1706898891.188901,,,,0.770000000
1706898891.198774,0.150111908,0.145296365,0.000000000,
1706898891.198831,,,,0.780000000
1706898891.208671,0.144081153,0.146797484,0.000000000,
1706898891.208712,,,,0.790000000
1706898891.218642,0.137960593,0.148238295,0.000000000,
1706898891.218688,,,,0.800000000
1706898891.228602,0.131757157,0.149617901,0.000000000,
1706898891.228637,,,,0.810000000
1706898891.238615,0.125477796,0.150935473,0.000000000,
1706898891.238656,,,,0.820000000
1706898891.248600,0.119129470,0.152190251,0.000000000,
1706898891.248648,,,,0.830000000
1706898891.258868,0.112719151,0.153381546,0.000000000,
1706898891.258955,,,,0.840000000
1706898891.268646,0.106253805,0.154508737,0.000000000,
1706898891.268703,,,,0.850000000
1706898891.278521,0.099740393,0.155571275,0.000000000,
1706898891.278553,,,,0.860000000
1706898891.288755,0.093185861,0.156568679,0.000000000,
1706898891.288806,,,,0.870000000
1706898891.298662,0.086597135,0.157500538,0.000000000,
1706898891.298705,,,,0.880000000
1706898891.308818,0.079981110,0.158366509,0.000000000,
1706898891.308887,,,,0.890000000
1706898891.318660,0.073344648,0.159166320,0.000000000,
1706898891.318701,,,,0.900000000
1706898891.328775,0.066694569,0.159899767,0.000000000,
1706898891.328831,,,,0.910000000
1706898891.338657,0.060037647,0.160566712,0.000000000,
1706898891.338697,,,,0.920000000
1706898891.349334,0.053380599,0.161167089,0.000000000,
1706898891.349369,,,,0.930000000
1706898891.359034,0.046730084,0.161700895,0.000000000,
1706898891.359084,,,,0.940000000
1706898891.368753,0.040092694,0.162168196,0.000000000,
1706898891.368818,,,,0.950000000
1706898891.378746,0.033474948,0.162569123,0.000000000,
1706898891.378787,,,,0.960000000
1706898891.388648,0.026883286,0.162903872,0.000000000,
1706898891.388686,,,,0.970000000
1706898891.398571,0.020324066,0.163172705,0.000000000,
1706898891.398617,,,,0.980000000
1706898891.408767,0.013803555,0.163375946,0.000000000,
1706898891.408830,,,,0.990000000
1706898891.418612,0.007327924,0.163513981,0.000000000,
1706898891.418653,,,,1.000000000
1706898891.428537,0.000903247,0.163587260,0.000000000,
1706898891.428584,,,,1.010000000
1706898891.438743,-0.005464511,0.163596293,0.000000000,
1706898891.438816,,,,1.020000000
1706898891.448607,-0.011769496,0.163541648,0.000000000,
1706898891.448658,,,,1.030000000
1706898891.458701,-0.018005965,0.163423953,0.000000000,
1706898891.458745,,,,1.040000000
1706898891.468916,-0.024168301,0.163243893,0.000000000,
1706898891.468996,,,,1.050000000
1706898891.478714,-0.030251007,0.163002210,0.000000000,
1706898891.478769,,,,1.060000000
1706898891.488565,-0.036248718,0.162699700,0.000000000,
1706898891.488603,,,,1.070000000
1706898891.498753,,,,1.080000000
1706898891.498828,-0.042156201,0.162337213,0.000000000,
1706898891.508614,-0.047968360,0.161915651,0.000000000,
1706898891.508658,,,,1.090000000
1706898891.518627,-0.053680242,0.161435967,0.000000000,
1706898891.518685,,,,1.100000000
1706898891.528551,-0.059287036,0.160899165,0.000000000,
1706898891.528585,,,,1.110000000
1706898891.538571,-0.064784082,0.160306294,0.000000000,
1706898891.538614,,,,1.120000000
1706898891.548770,-0.070166871,0.159658454,0.000000000,
1706898891.548827,,,,1.130000000
1706898891.558560,-0.075431047,0.158956785,0.000000000,
1706898891.558598,,,,1.140000000
1706898891.568846,-0.080572415,0.158202474,0.000000000,
1706898891.568908,,,,1.150000000
1706898891.579071,-0.085586939,0.157396750,0.000000000,
1706898891.579149,,,,1.160000000
1706898891.588827,-0.090470744,0.156540881,0.000000000,
1706898891.588870,,,,1.170000000
1706898891.598908,-0.095220125,0.155636173,0.000000000,
1706898891.598967,,,,1.180000000
1706898891.608691,-0.099831541,0.154683972,0.000000000,
1706898891.608727,,,,1.190000000
1706898891.618835,-0.104301623,0.153685657,0.000000000,
1706898891.618905,,,,1.200000000
1706898891.628743,-0.108627172,0.152642641,0.000000000,
1706898891.628795,,,,1.210000000
1706898891.638987,-0.112805165,0.151556369,0.000000000,
1706898891.639052,,,,1.220000000
1706898891.648988,-0.116832750,0.150428317,0.000000000,
1706898891.649060,,,,1.230000000
1706898891.658701,-0.120707254,0.149259990,0.000000000,
1706898891.658752,,,,1.240000000
1706898891.669230,-0.124426181,0.148052917,0.000000000,
1706898891.669294,,,,1.250000000
1706898891.678839,-0.127987210,0.146808655,0.000000000,
1706898891.678897,,,,1.260000000
1706898891.688876,-0.131388204,0.145528783,0.000000000,
1706898891.688928,,,,1.270000000
1706898891.698609,-0.134627200,0.144214901,0.000000000,
1706898891.698649,,,,1.280000000
